25 20
#############
#...........#    ########
#...s...g...######......#
#.............k..d......#
#...........######......#
#.....m.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #c.....#
  #..@....#      #......#
  #...w.w.#      #......#
  #...w...#      #......#
  #...w...#      #......#
  #.......#      #......#
  #.......#      #...l..#
  #########       ######
